Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
89.64870275000003,1400,,,,0.00037109375,-0.0198828125,-0.99802734375,-0.006522007718613668,0.25070893019571877,16.272446185044124,0.6267678069577373,7681,0,10.199043903437406,5.245865249741744,51.44070717300551,0.047833861353199725,0.024580372624737796,0.294765625,,
96.47417810000003,1415.384615384614,,,,0.0011328125,-0.01447265625,-0.9973828125,-0.004065017201871313,0.16526839383006964,16.29511241560887,0.40404494757828013,6311,0,6.583957658990595,2.686276710028484,40.81397972167172,0.06161429357942405,0.025106214565578128,0.29462890625,,
103.29930100000006,1430.769230769232,,,,0.00310546875,-0.0165625,-0.995,-0.0020348764688144037,0.09286133574259851,16.311157694261897,0.22649278043674687,4752,0,3.694359381320556,1.0126000690196577,27.410264697362305,0.09164730415715568,0.025144587303167164,0.1141796875,,
110.12450830000003,1446.1538461538448,,,,0.00263671875,-0.0183203125,-0.99669921875,-0.00047054681323064544,0.056874778237164116,16.322184627517608,0.12377662902879681,3158,0,2.0203044152219065,0.1550731764933378,7.688708046868625,0.42837234992797435,0.028188756915117054,0.09740234375,,
116.9493318,1461.538461538465,,,,0.00005859375,-0.0262890625,-0.9830078125,0.00043435992517886586,0.031364423625075605,16.33003178876366,0.0591115064557562,0,0,0.9652927192703561,0,0,0,0,0.0725,,
123.77455365000006,1476.923076923076,,,,0,-0.03171875,-0.96,0.0007243528674541037,0.018607210888007247,16.33490208697384,0.023199583655181565,0,0,0.3789626709470478,0,0,0,0,0.06052734375,,
130.59998425000006,1492.3076923076906,,,,0,-0.031484375,-0.9601953125,0.0006897642922827269,0.019461759637635603,16.337210420232708,0.024358153707755573,0,0,0.3979441148491268,0,0,0,0,0.060546875,,
137.42516895000006,1507.6923076923094,,,,0.0003515625,-0.02751953125,-0.9735546875,0.0006715233364893915,0.011207210690563204,16.338101919467995,0.03426217441984786,0,0,0.5597492787837514,0,0,0,0,0.06859375,,
144.2496257500001,1523.076923076924,,,,0,-0.020234375,-0.98958984375,0.001279842655100568,-0.0013556234195648742,16.336738729441652,0.06615838328354015,0,0,1.0808119314621738,0,0,0,0,0.0765234375,,
151.0505521,1538.461538461535,,,,0.0001953125,-0.0124609375,-0.9991796875,0.0022021771225533633,-0.056579201113355806,16.33209623313869,0.14090708785586017,3469,0,2.3013077083302074,0.79992668266108,34.81291542699243,0.07124214360166133,0.0245894895623618,0.10783203125,,
157.87597405000002,1553.8461538461554,,,,0.0032421875,-0.0213671875,-1.0021875,0.0037089077914408096,-0.1393201479408909,16.321696574911172,0.279363179995115,5245,0,4.559678010282823,2.037590315411156,44.6876073942119,0.0685141027457511,0.030575649404429566,0.14625,,
164.70113895000006,1569.230769230769,,,,0.0017578125,-0.019453125,-0.99912109375,0.005495583980133145,-0.23137973553486685,16.307894407638585,0.47038159841913896,6836,0,7.670933291396278,3.934086949418381,51.28774885135883,0.05885507371840693,0.030171509624842587,0.22982421875,,
